rank,player_name,player_img,position,country,country_flag,goals,assist
1,凯恩,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180606/image/15/0sdiBrHK043,前锋,英格兰,http://p1.ifengimg.com/worldcup/England.png,6,0
2,C罗,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180616/image/09/0spS_Bx00dU,前锋,葡萄牙,http://p1.ifengimg.com/worldcup/Portugal.png,4,0
2,格列兹曼,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/09/0sr_4N3u0cz,前锋,法国,http://p1.ifengimg.com/worldcup/France.png,4,2
2,姆巴佩,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180622/image/08/0sxyBDxe03o,前锋,法国,http://p1.ifengimg.com/worldcup/France.png,4,0
2,罗梅卢-卢卡库,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180619/image/02/0stlnIhu06Y,前锋,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,4,1
2,切里舍夫,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/16/0smo0Cd00dh,中场,俄罗斯,http://p1.ifengimg.com/worldcup/Russia.png,4,0
7,大阿扎尔,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180521/image/21/0rV3rbyK04D,前锋,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,3,2
7,久巴,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/16/0smo2M3e00w,前锋,俄罗斯,http://p1.ifengimg.com/worldcup/Russia.png,3,2
7,迭戈-科斯塔,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180616/image/09/0spSbL1u00r,前锋,西班牙,http://p1.ifengimg.com/worldcup/Spain.png,3,0
7,米纳,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180625/image/08/0sBmFIXu07k,后卫,哥伦比亚,http://p1.ifengimg.com/worldcup/Columbia.png,3,0
7,曼朱基奇,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180712/image/09/0sXiR1VK00A,前锋,克罗地亚,http://p1.ifengimg.com/worldcup/Croatia.png,3,1
7,佩里西奇,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180712/image/09/0sXiQht000L,前锋,克罗地亚,http://p1.ifengimg.com/worldcup/Croatia.png,3,1
7,埃丁森·卡瓦尼,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180701/image/07/0sJ6kjou06E,前锋,乌拉圭,http://p1.ifengimg.com/worldcup/Uruguay.png,3,0
14,内马尔,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180623/image/07/0syLUj4e02s,前锋,巴西,http://p1.ifengimg.com/worldcup/Brazil.png,2,2
14,孙兴慜,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/21/0srNLolK09C,前锋,韩国,http://p1.ifengimg.com/worldcup/Korea.png,2,0
14,阿圭罗,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/09/0sr_4a000cD,前锋,阿根廷,http://p1.ifengimg.com/worldcup/Argentina.png,2,0
14,格兰奎斯特,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180522/image/09/0rVFeKGu031,后卫,瑞典,http://p1.ifengimg.com/worldcup/Sweden.png,2,0
14,耶迪纳克,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/09/0sr-Yr_e0aC,中场,澳大利亚,http://p1.ifengimg.com/worldcup/Australia.png,2,0
14,乾贵士,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180625/image/08/0sBmIZDu07q,中场,日本,http://p1.ifengimg.com/worldcup/Japan.png,2,1
14,库蒂尼奥,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180618/image/09/0sspf7FK0c8,中场,巴西,http://p1.ifengimg.com/worldcup/Brazil.png,2,2
14,莫德里奇,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/09/0sr_0Sc00bF,中场,克罗地亚,http://p1.ifengimg.com/worldcup/Croatia.png,2,1
14,穆萨,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180623/image/07/0syLV6o002i,前锋,尼日利亚,http://p1.ifengimg.com/worldcup/Nigeria.png,2,0
14,苏亚雷斯,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180621/image/09/0swhjLZ008a,前锋,乌拉圭,http://p1.ifengimg.com/worldcup/Uruguay.png,2,1
14,萨拉赫,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/12/0sm-IyJu02s,前锋,埃及,http://p1.ifengimg.com/worldcup/Egypt.png,2,0
14,斯通斯,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180606/image/15/0sdimYe00aR,后卫,英格兰,http://p1.ifengimg.com/worldcup/England.png,2,0
14,哈兹里,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180624/image/09/0sA-tvsu00b,前锋,突尼斯,http://p1.ifengimg.com/worldcup/Tunisia.png,2,2
27,博格巴,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180617/image/09/0sr-ZGqK0bg,中场,法国,http://p1.ifengimg.com/worldcup/France.png,1,1
27,梅西,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180616/image/09/0spSaky000f,前锋,阿根廷,http://p1.ifengimg.com/worldcup/Argentina.png,1,2
27,帕瓦尔,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180701/image/07/0sJ6lF0u06B,后卫,法国,http://p1.ifengimg.com/worldcup/France.png,1,0
27,乌姆蒂蒂,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180711/image/07/0sVX0wJ00cO,后卫,法国,http://p1.ifengimg.com/worldcup/France.png,1,0
27,金英权,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180628/image/08/0sFexybu0bH,后卫,韩国,http://p1.ifengimg.com/worldcup/Korea.png,1,0
27,瓦拉内,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180521/image/15/0rUJanj00-l,后卫,法国,http://p1.ifengimg.com/worldcup/France.png,1,0
27,梅尔卡多,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180701/image/07/0sJ6iT7K06x,后卫,阿根廷,http://p1.ifengimg.com/worldcup/Argentina.png,1,1
27,罗霍,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180627/image/08/0sDZICZ003B,后卫,阿根廷,http://p1.ifengimg.com/worldcup/Argentina.png,1,1
27,迪马利亚,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180701/image/07/0sJ6jvmK06y,中场,阿根廷,http://p1.ifengimg.com/worldcup/Argentina.png,1,0
27,费尔通亨,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180521/image/21/0rV2IeUe0cw,后卫,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,0
27,默尼耶,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180715/image/22/0t1TWjkK09o,后卫,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,2
27,费莱尼,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180703/image/11/0sLTabI002R,中场,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,0
27,德布劳内,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180707/image/08/0sQPRPhK0bs,中场,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,3
27,沙兹利,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180703/image/11/0sLTb4WK02U,中场,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,1
27,贾努扎伊,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180629/image/09/0sGzI7K00cZ,前锋,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,0
27,巴楚亚伊,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180624/image/09/0sA-8pwe0d4,前锋,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,0
27,梅尔滕斯,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180619/image/02/0stloUfe06Z,前锋,比利时,http://p1.ifengimg.com/worldcup/Belgium.png,1,1
27,马里奥-费尔南德斯,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/16/0smnbOcK08q,后卫,俄罗斯,http://p1.ifengimg.com/worldcup/Russia.png,1,1
27,加辛斯基,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/16/0smneqqu08P,中场,俄罗斯,http://p1.ifengimg.com/worldcup/Russia.png,1,0
27,戈洛温,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180613/image/16/0smngnzK093,中场,俄罗斯,http://p1.ifengimg.com/worldcup/Russia.png,1,2
27,佩佩,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180522/image/07/0rVywWJK07U,后卫,葡萄牙,http://p1.ifengimg.com/worldcup/Portugal.png,1,0
27,夸雷斯马,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180626/image/07/0sCDEQVe0_5,前锋,葡萄牙,http://p1.ifengimg.com/worldcup/Portugal.png,1,0
27,奥古斯丁森,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180522/image/09/0rVFb6Ne021,后卫,瑞典,http://p1.ifengimg.com/worldcup/Sweden.png,1,0
27,纳乔,http:////d.ifengimg.com/q_10/img1.ugc.ifeng.com/newugc/20180616/image/09/0spSb7je00o,后卫,西班牙,http://p1.ifengimg.com/worldcup/Spain.png,1,0
