average_time,weiht,appearances_counts,height,assist_num,num,goal_num,birth,appearance_time,name,img,is_star,team,position
22,73kg,1,1.77m,0,21号,0,1993/11/15,22,迪巴拉,http://p1.img.cctvpic.com/sports/data/playerImageB/256219.png,0,阿根廷,前锋
44,75kg,3,1.84m,0,9号,0,1987/12/10,132,伊瓜因,http://p1.img.cctvpic.com/sports/data/playerImageB/19438.png,0,阿根廷,前锋
51.75,76kg,4,1.8m,0,13号,0,1992/12/15,207,梅萨,http://p1.img.cctvpic.com/sports/data/playerImageB/340897.png,0,阿根廷,中场
0,66kg,0,1.67m,0,15号,0,1993/2/15,0,兰基尼,http://p1.img.cctvpic.com/sports/data/playerImageB/220315.png,0,阿根廷,中场
72,73kg,3,1.75m,2,7号,0,1988/6/29,216,巴内加,http://p1.img.cctvpic.com/sports/data/playerImageB/31981.png,0,阿根廷,中场
38.25,65kg,4,1.69m,1,22号,0,1996/1/21,153,帕文,http://p1.img.cctvpic.com/sports/data/playerImageB/358956.png,0,阿根廷,中场
79,75kg,3,1.78m,0,11号,1,1988/2/14,237,迪马利亚,http://p1.img.cctvpic.com/sports/data/playerImageB/30027.png,0,阿根廷,中场
54,73kg,1,1.75m,0,5号,0,1986/1/30,54,比利亚,http://p1.img.cctvpic.com/sports/data/playerImageB/17799.png,0,阿根廷,中场
0,75kg,0,1.77m,0,20号,0,1996/4/9,0,洛塞尔索,http://p1.img.cctvpic.com/sports/data/playerImageB/858082.png,0,阿根廷,中场
90,81kg,4,1.81m,0,17号,0,1988/2/12,360,奥塔门迪,http://p1.img.cctvpic.com/sports/data/playerImageB/74915.png,0,阿根廷,后卫
75,82kg,3,1.89m,1,16号,1,1990/3/20,225,罗霍,http://p1.img.cctvpic.com/sports/data/playerImageB/46998.png,0,阿根廷,后卫
73,69kg,2,1.67m,0,18号,0,1990/7/13,146,萨尔维奥,http://p1.img.cctvpic.com/sports/data/playerImageB/47334.png,0,阿根廷,后卫
0,73kg,0,1.81m,0,4号,0,1986/9/20,0,安萨尔迪,http://p1.img.cctvpic.com/sports/data/playerImageB/43476.png,0,阿根廷,后卫
87.5,65kg,4,1.69m,0,3号,0,1992/8/31,350,塔利亚菲科,http://p1.img.cctvpic.com/sports/data/playerImageB/158243.png,0,阿根廷,后卫
45,85kg,1,1.99m,0,6号,0,1987/3/17,45,法齐奥,http://p1.img.cctvpic.com/sports/data/playerImageB/27569.png,0,阿根廷,后卫
