position,name,country
门将,瑞恩(1号), 澳大利亚
门将,武科维奇(18号), 澳大利亚
门将,小施梅切尔(1号), 丹麦
门将,琼斯(12号), 澳大利亚
后卫,祖曼(6号), 澳大利亚
后卫,贝西克(16号), 澳大利亚
后卫,里斯登(19号), 澳大利亚
门将,伦诺(22号), 丹麦
门将,勒斯尔(16号), 丹麦
后卫,克努德森(5号), 丹麦
后卫,韦斯特高(3号), 丹麦
后卫,克里斯滕森(6号), 丹麦
后卫,西蒙·凯尔(4号), 丹麦
后卫,赞卡·约根森(13号), 丹麦
后卫,塞恩斯伯里(20号), 澳大利亚
后卫,米利甘(5号), 澳大利亚
后卫,德格内克(2号), 澳大利亚
后卫,詹姆斯·梅雷迪斯(3号), 澳大利亚
中场,莫伊(13号), 澳大利亚
中场,杰克逊·欧文(22号), 澳大利亚
中场,卢恩戈(8号), 澳大利亚
后卫,斯特里格(17号), 丹麦
后卫,达尔斯高(14号), 丹麦
中场,舍恩(19号), 丹麦
中场,埃里克森(10号), 丹麦
中场,莱拉格(18号), 丹麦
中场,克龙-德利(2号), 丹麦
中场,德莱尼(8号), 丹麦
中场,耶迪纳克(15号), 澳大利亚
中场,汤姆·罗吉奇(23号), 澳大利亚
前锋,卡希尔(4号), 澳大利亚
前锋,莱基(7号), 澳大利亚
前锋,尤里奇(9号), 澳大利亚
中场,奎斯特(7号), 丹麦
前锋,鲍尔森(20号), 丹麦
前锋,科内柳斯(21号), 丹麦
前锋,西斯托(23号), 丹麦
前锋,多尔伯格(12号), 丹麦
前锋,约根森(9号), 丹麦
前锋,佩特拉托斯(21号), 澳大利亚
前锋,克鲁泽(10号), 澳大利亚
前锋,安德鲁·阿尔伯特(11号), 澳大利亚
前锋,杰米·麦克拉伦(14号), 澳大利亚
前锋,丹尼尔·阿尔扎尼(17号), 澳大利亚
前锋,布雷思韦特(11号), 丹麦
前锋,菲舍尔(15号), 丹麦
门将,穆尼尔(12号), 摩洛哥
门将,曼丹达(16号), 法国
门将,贝兰万德(1号), 伊朗
门将,鲁纳尔松(13号), 冰岛
门将,亚辛(1号), 摩洛哥
门将,艾哈迈德(22号), 摩洛哥
后卫,门迪尔(3号), 摩洛哥
后卫,达科斯塔(4号), 摩洛哥
后卫,赛斯(6号), 摩洛哥
后卫,贝纳蒂亚(5号), 摩洛哥
后卫,纳比勒(17号), 摩洛哥
门将,阿里萨巴拉加(13号), 西班牙
门将,卢尼奥夫(12号), 俄罗斯
门将,洛里斯(1号), 法国
门将,阿雷奥拉(23号), 法国
后卫,西迪贝(19号), 法国
后卫,瓦拉内(4号), 法国
后卫,门迪(22号), 法国
后卫,拉米(17号), 法国
后卫,埃尔南德斯(21号), 法国
门将,阿贝德扎德(22号), 伊朗
门将,马扎赫里(12号), 伊朗
后卫,哈吉萨菲(3号), 伊朗
后卫,蒙塔泽里(15号), 伊朗
后卫,侯赛尼(19号), 伊朗
门将,阿斯特施拉姆(12号), 冰岛
门将,哈尔多松(1号), 冰岛
后卫,因加松(5号), 冰岛
后卫,斯库拉松(23号), 冰岛
后卫,西于尔兹松(6号), 冰岛
后卫,塞瓦尔松(2号), 冰岛
后卫,阿尔纳松(14号), 冰岛
门将,古兹曼(1号), 阿根廷
后卫,哈基米(2号), 摩洛哥
中场,费萨尔(11号), 摩洛哥
中场,哈基姆(7号), 摩洛哥
中场,艾哈迈德(8号), 摩洛哥
中场,安拉巴特(16号), 摩洛哥
中场,安拉巴特(21号), 摩洛哥
中场,迈赫迪(23号), 摩洛哥
中场,布苏法(14号), 摩洛哥
门将,雷纳(23号), 西班牙
门将,德赫亚(1号), 西班牙
后卫,拉莫斯(15号), 西班牙
后卫,卡瓦哈尔(2号), 西班牙
后卫,蒙雷亚尔(16号), 西班牙
