group,rank,team,w-t-l,goals,fumble,points
A组,1,乌拉圭,3|0|0,5,0,9
A组,2,俄罗斯,2|0|1,8,4,6
A组,3,沙特,1|0|2,2,7,3
A组,4,埃及,0|0|3,2,6,0
B组,1,西班牙,1|2|0,6,5,5
B组,2,葡萄牙,1|2|0,5,4,5
B组,3,伊朗,1|1|1,2,2,4
B组,4,摩洛哥,0|1|2,2,4,1
C组,1,法国,2|1|0,3,1,7
C组,2,丹麦,1|2|0,2,1,5
C组,3,秘鲁,1|0|2,2,2,3
C组,4,澳大利亚,0|1|2,2,5,1
D组,0,克罗地亚,3|0|0,7,1,9
D组,2,阿根廷,1|1|1,3,5,4
D组,3,尼日利亚,1|0|2,3,4,3
D组,4,冰岛,0|1|2,2,5,1
E组,1,巴西,2|1|0,5,1,7
E组,2,瑞士,1|2|0,5,4,5
E组,3,塞尔维亚,1|0|2,2,4,3
E组,4,哥斯达黎加,0|1|2,2,5,1
F组,1,瑞典,2|0|1,5,2,6
F组,2,墨西哥,2|0|1,3,4,6
F组,3,韩国,1|0|2,3,3,3
F组,4,德国,1|0|2,2,4,3
G组,1,比利时,3|0|0,9,2,9
G组,2,英格兰,2|0|1,8,3,6
G组,3,突尼斯,1|0|2,5,8,3
G组,4,巴拿马,0|0|3,2,11,0
H组,1,哥伦比亚,2|0|1,5,2,6
H组,2,日本,1|1|1,4,4,4
H组,3,塞内加尔,1|1|1,4,4,4
H组,4,波兰,1|0|2,2,5,3
