date,time,game
6月14日,23:00,俄罗斯 5-0 沙特阿拉伯
6月15日,20:00,埃及 0-1 乌拉圭
6月15日,23:00,摩洛哥 0-1 伊朗
6月16日,2:00,葡萄牙 3-3 西班牙
6月16日,18:00,法国 2-1 澳大利亚
6月16日,21:00,阿根廷 1-1 冰岛
6月17日,0:00,秘鲁 0-1 丹麦
6月17日,2:00,克罗地亚 2-0 尼日利亚
6月17日,20:00,哥斯达黎加0-1塞尔维亚
6月17日,23:00,德国 0-1 墨西哥
6月18日,2:00,巴西 1-1 瑞士
6月18日,20:00,瑞典 1-0 韩国
6月18日,23:00,比利时 3-0 巴拿马
6月19日,02:00,突尼斯 1-2 英格兰
6月19日,20:00,哥伦比亚 1-2 日本
6月19日,23:00,波兰 1-2 塞内加尔
6月20日,02:00,俄罗斯 3-1 埃及
6月20日,20:00,葡萄牙 1-0 摩洛哥
6月20日,23:00,乌拉圭 1-0 沙特阿拉伯
6月21日,02:00,伊朗 0-1 西班牙
6月21日,20:00,丹麦 1-1 澳大利亚
6月21日,23:00,法国 1-0 秘鲁
6月22日,02:00,阿根廷 0-3 克罗地亚
6月22日,20:00,巴西 2-0 哥斯达黎加
6月22日,23:00,尼日利亚 2-0 冰岛
6月23日,02:00,瑞士 2-1 塞尔维亚
6月23日,20:00,比利时 5-2 突尼斯
6月23日,23:00,韩国 1-2 墨西哥
6月24日,02:00,德国 2-1 瑞典
6月24日,20:00,英格兰 6-1 巴拿马
6月24日,23:00,日本 2-2 塞内加尔
6月25日,02:00,波兰 0-3 哥伦比亚
6月25日,22:00,乌拉圭 3-0 俄罗斯
6月25日,22:00,沙特阿拉伯 2-1 埃及
6月26日,02:00,西班牙 2-2 摩洛哥
6月26日,02:00,伊朗 1-1 葡萄牙
6月26日,22:00,丹麦 0-0 法国
6月26日,22:00,澳大利亚 0-2 秘鲁
6月27日,02:00,冰岛 1-2 克罗地亚
6月27日,02:00,尼日利亚 1-2 阿根廷
6月27日,22:00,墨西哥 0-3 瑞典
6月27日,22:00,韩国 2-0 德国
6月28日,02:00,塞尔维亚 0-2 巴西
6月28日,02:00,瑞士 2-2 哥斯达黎加
6月28日,22:00,塞内加尔 0-1 哥伦比亚
6月28日,22:00,日本 0-1 波兰
6月29日,02:00,英格兰 0-1 比利时
6月29日,02:00,巴拿马 1-2 突尼斯
6月30日,22:00,法国 4-3阿根廷
7月1日,02:00,乌拉圭 2-1 葡萄牙
7月1日,22:00,西班牙 4-5 俄罗斯
7月2日,02:00,克罗地亚 4-3 丹麦
7月2日,22:00,巴西 2-0 墨西哥
7月3日,02:00,比利时 3-2 日本
7月3日,22:00,瑞典 1-0 瑞士
7月4日,02:00,哥伦比亚 4-5 英格兰
7月6日,22:00,乌拉圭 0-2 法国
7月7日,02:00,巴西 1-2 比利时
7月7日,22:00,瑞典 0-2 英格兰
7月8日,02:00,俄罗斯 5-6 克罗地亚
7月11日,02:00,法国 0-0 比利时
7月12日,22:00,克罗地亚 0-0 英格兰
